Kernel Size,2D Gaussian Time (s),1D Gaussian x2 Time (s)
3,0.015186035000078845,0.008823659998597577
5,0.034290415000577924,0.011639344996365254
9,0.1014149600014207,0.01753092000144534
15,0.11738224500149955,0.029254005002439954
21,0.12614440000033939,0.047831789996416775
31,0.13909026000183075,0.07643316500034417
41,0.14178748499543872,0.09754002500412753
