Image Size,2D Gaussian Time (s),1D Gaussian x2 Time (s)
512,0.0035934600004111418,0.0004218299989588559
1024,0.009935560001758858,0.001745939999818802
2048,0.03205640999658499,0.006763235000835266
4096,0.11552738000027603,0.029025125002954157
8192,0.5025982749953982,0.14688334500096972
